source,model,target,R2,RMSE,MAE,Accuracy
ML,XGBoost,FF,0.7929601990668012,5.792020944195967,3.3021756757767475,0.8825136612021858
ML,RandomForest,FF,0.7920686529481534,5.804478226836786,3.1735186001823554,0.8743169398907104
ML,KNeighborsRegressor,FF,0.4949327123003555,9.046442422186985,5.665840491803278,0.7663934426229508
ML,GradientBoosting,FF,0.4830579445954202,9.152171202913983,6.194785152432371,0.744535519125683
ML,RidgeRegression,FF,0.1406640057607237,11.800073282966196,8.256707957738456,0.6543715846994536
ML,LinearRegression,FF,0.1406601837049528,11.80009952444121,8.256755834008146,0.6543715846994536
ML,XGBoost,Jsc,0.8448851836385363,2.6518697237691,1.5691294940665363,0.7226775956284153
ML,RandomForest,Jsc,0.8203962083227253,2.853535592963673,1.7393720834463928,0.6816939890710383
ML,GradientBoosting,Jsc,0.6690520160442834,3.873516528181794,2.8793983274176917,0.5095628415300546
ML,KNeighborsRegressor,Jsc,0.577670605411043,4.375736871374928,3.044022008076503,0.5314207650273224
ML,RidgeRegression,Jsc,0.3960930201219422,5.23251603725911,4.143560756480866,0.3114754098360656
ML,LinearRegression,Jsc,0.3960765428768308,5.232587419826358,4.143621851052576,0.3114754098360656
ML,XGBoost,Voc,0.7372312856278593,0.1006468418724158,0.0384459798859455,0.9699453551912568
ML,RandomForest,Voc,0.6401249549418522,0.1177847840505386,0.0435456939220897,0.9494535519125684
ML,GradientBoosting,Voc,0.4433983087834614,0.1464824464663356,0.0626739006536945,0.9439890710382514
ML,KNeighborsRegressor,Voc,0.3268005843400996,0.1610961602476943,0.0619664459016393,0.9275956284153004
ML,RidgeRegression,Voc,0.2352221628123624,0.1717042207164396,0.0773514298388146,0.9043715846994536
ML,LinearRegression,Voc,0.235217386438816,0.171704756899745,0.0773593347897417,0.9043715846994536
ML,XGBoost,eta,0.8684198013468736,2.8830133273540497,1.8058641859311224,0.6939890710382514
ML,RandomForest,eta,0.8433198046411441,3.145997935829895,1.93920812578182,0.6721311475409836
ML,GradientBoosting,eta,0.6892293070739525,4.430690450888578,3.390989379888929,0.453551912568306
ML,KNeighborsRegressor,eta,0.5982347798707903,5.037760887020649,3.5889586065573766,0.5027322404371585
ML,RidgeRegression,eta,0.3844183395650487,6.235829289101253,5.115422730360743,0.2459016393442623
ML,LinearRegression,eta,0.3843932973201691,6.235956126518602,5.115502768450168,0.2459016393442623
ML,XGBoost,overall,0.8108741174200176,2.856887709297883,1.678903833915088,0.8172814207650273
ML,RandomForest,overall,0.7739774052134687,2.980449134920223,1.7239111258331643,0.7943989071038252
ML,GradientBoosting,overall,0.5711843941242793,4.400715157112673,3.1319616900981715,0.6629098360655737
ML,KNeighborsRegressor,overall,0.4994096704805721,4.655259085207564,3.0901968880846997,0.6820355191256832
ML,RidgeRegression,overall,0.2890993820650193,5.860030707510751,4.398260718604719,0.5290300546448088
ML,LinearRegression,overall,0.2890868525851922,5.860086956921479,4.398309947075158,0.5290300546448088
NN,ANN,Voc,0.6176377627712084,0.121408982921087,0.03931932473060733,0.976775956284153
NN,ANN,Jsc,0.9563438532822252,1.406851453732526,0.9128274908981107,0.907103825136612
NN,ANN,FF,0.8698807259519263,4.591705425537001,2.8936216682725915,0.9508196721311475
NN,ANN,eta,0.9834493418584815,1.0224898728936442,0.7794024847082753,0.9234972677595629
NN,ANN,overall,0.8568279209659604,2.455769503082447,1.1562927421523965,0.9395491803278688
NN,CNN,Voc,0.573176736350952,0.12827362411286297,0.034394131050636205,0.9863387978142076
NN,CNN,Jsc,0.9665720401481447,1.2310635692391458,0.739541028341308,0.9275956284153005
NN,CNN,FF,0.8631407408565523,4.70912583130844,2.82290104429318,0.9467213114754098
NN,CNN,eta,0.9943177850525765,0.5991150236381483,0.44914271918541737,0.9590163934426229
NN,CNN,overall,0.8493018256020561,2.452895051811033,1.0114947307176354,0.9549180327868853
NN,RNN,Voc,0.7587424241840064,0.09643924544449012,0.03672520242304359,0.9863387978142076
NN,RNN,Jsc,0.9597703240929084,1.350513128753002,0.7910128727743213,0.9330601092896175
NN,RNN,FF,0.8285240754705088,5.271142771439127,3.3103537292063563,0.9453551912568307
NN,RNN,eta,0.9952673575169864,0.5467681773348857,0.4123564516599061,0.9672131147540983
NN,RNN,overall,0.8855760453161023,2.734825762075037,1.1376120640159078,0.9579918032786885
